"paragraph","subject","has_payment_provision","notes"
1,"Purpose and scope",FALSE,"General cooperation framework"
2,"Definitions",FALSE,""
3,"Bilateral cooperation procedures",FALSE,"Roster management via EPS computer network"
4,"Sending fee / recruitment cost",FALSE,"Governs recruitment agency fee — NOT transfer fees"
5,"Worker selection",FALSE,""
6,"Language testing",FALSE,""
7,"Skills testing",FALSE,""
8,"Pre-departure training",FALSE,"Orientation only — no financial-literacy or payment-channel component"
9,"Labour contract terms",FALSE,"Wage listed as 'desired condition'; no payment-method clause"
10,"Insurance",FALSE,""
11,"Worker rights and protections",FALSE,"General rights; no wage-payment-channel requirement"
12,"Change of workplace",FALSE,""
13,"Voluntary return / re-entry",FALSE,""
14,"Sojourn management and repatriation",FALSE,"Return airfare provision only"
15,"EPS computer network",FALSE,"Technical HR data sharing — no payment data"
16,"Dispute resolution",FALSE,""
17,"Coordination and review",FALSE,"Annual review mechanism — but no payment agenda"
18,"Joint Committee",FALSE,""
19,"Information sharing",FALSE,""
20,"Amendment procedure",FALSE,"Mutual written consent — this is the renewal vehicle"
21,"Entry into force / term",FALSE,"2-year renewable term"
