"operator","channel_type","transfer_krw","flat_fee_krw","fx_margin_pct","total_cost_pct","collection_date","notes","cost_is_lower_bound","serves_nepal","fx_benchmark_krw_npr","fx_benchmark_date"
"GME / Global Money Express","MTO",5e+05,5000,NA,1,"2026-06-24","Published ""fees from 5,000 KRW""; runs zero-fee Nepal promos. FX margin requires app login - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"GME / Global Money Express","MTO",1e+06,5000,NA,0.5,"2026-06-24","Published ""fees from 5,000 KRW""; runs zero-fee Nepal promos. FX margin requires app login - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"WireBarley","MTO",5e+05,0,NA,0,"2026-06-24","WireBarley advertises ZERO fee to Nepal (eSewa partner payout); generic SWIFT SHA fee otherwise 3,000 KRW (<3M won). FX margin requires app - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"WireBarley","MTO",1e+06,0,NA,0,"2026-06-24","WireBarley advertises ZERO fee to Nepal (eSewa partner payout); generic SWIFT SHA fee otherwise 3,000 KRW (<3M won). FX margin requires app - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Sentbe","MTO",5e+05,5000,NA,1,"2026-06-24","Flat ~5,000 KRW cited for comparable corridors (US); Nepal-specific fee not separately published. FX requires app. fee_unconfirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Sentbe","MTO",1e+06,5000,NA,0.5,"2026-06-24","Flat ~5,000 KRW cited for comparable corridors (US); Nepal-specific fee not separately published. FX requires app. fee_unconfirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"E9pay","MTO",5e+05,NA,NA,NA,"2026-06-24","No published flat fee for KRW->NPR found on public site/FAQ (app-gated, tiered). Partners Cashway/NIMB for Nepal payout. fee_unavailable_fx_unavailable",TRUE,TRUE,0.0982839,"2026-06-24"
"E9pay","MTO",1e+06,NA,NA,NA,"2026-06-24","No published flat fee for KRW->NPR found on public site/FAQ (app-gated, tiered). Partners Cashway/NIMB for Nepal payout. fee_unavailable_fx_unavailable",TRUE,TRUE,0.0982839,"2026-06-24"
"Hanpass","MTO",5e+05,5000,NA,1,"2026-06-24","Hanpass FAQ/notice cites 5,000 KRW service charge to Nepal. FX margin requires app - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Hanpass","MTO",1e+06,5000,NA,0.5,"2026-06-24","Hanpass FAQ/notice cites 5,000 KRW service charge to Nepal. FX margin requires app - not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"SBI Cosmoney","MTO",5e+05,3000,NA,0.6,"2026-06-24","US corridor from 3,000 KRW (single fee model); Nepal-specific fee not published. FX requires app. fee_unconfirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"SBI Cosmoney","MTO",1e+06,3000,NA,0.3,"2026-06-24","US corridor from 3,000 KRW (single fee model); Nepal-specific fee not published. FX requires app. fee_unconfirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Rupeesend","MTO",5e+05,5000,NA,1,"2026-06-24","RupeeSend site: 5,000 KRW flat (50% student discount=2,500), pays out in NPR via Sansar Remit. Live FX rate only at order processing - margin not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Rupeesend","MTO",1e+06,5000,NA,0.5,"2026-06-24","RupeeSend site: 5,000 KRW flat (50% student discount=2,500), pays out in NPR via Sansar Remit. Live FX rate only at order processing - margin not captured. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"Korea Post","Bank",5e+05,NA,NA,NA,"2026-06-24","Korea Post Eurogiro serves only JP/MN/PH/LK/CH/TH - NOT Nepal. No KRW->NPR corridor. Served-corridor fee is 5,000 KRW internet / 8,000 counter, cap USD 1,000. corridor_unavailable",TRUE,FALSE,0.0982839,"2026-06-24"
"Korea Post","Bank",1e+06,NA,NA,NA,"2026-06-24","Korea Post Eurogiro serves only JP/MN/PH/LK/CH/TH - NOT Nepal. No KRW->NPR corridor. Served-corridor fee is 5,000 KRW internet / 8,000 counter, cap USD 1,000. corridor_unavailable",TRUE,FALSE,0.0982839,"2026-06-24"
"KB Kookmin Bank","Bank",5e+05,8000,NA,1.6,"2026-06-24","Internet TT: remittance fee 3,000 (<USD5,000) + cable/telegraph fee 5,000 = ~8,000 KRW (counter ~23,000). USD-routed SWIFT; recipient FX applied abroad. Bank TT FX spread ~1.5-2% typical but not captured here. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
"KB Kookmin Bank","Bank",1e+06,8000,NA,0.8,"2026-06-24","Internet TT: remittance fee 3,000 (<USD5,000) + cable/telegraph fee 5,000 = ~8,000 KRW (counter ~23,000). USD-routed SWIFT; recipient FX applied abroad. Bank TT FX spread ~1.5-2% typical but not captured here. fee_confirmed_fx_estimated",TRUE,TRUE,0.0982839,"2026-06-24"
